Approval Date,Drug Name,Submission,Active Ingredients,Sponsor
01/03/2020,DIVALPROEX SODIUMANDA  #078182,SUPPL-15,DIVALPROEX SODIUM,UPSHER SMITH LABS
01/03/2020,DIVALPROEX SODIUMANDA  #078182,SUPPL-16,DIVALPROEX SODIUM,UPSHER SMITH LABS
01/03/2020,DIVALPROEX SODIUMANDA  #078182,SUPPL-17,DIVALPROEX SODIUM,UPSHER SMITH LABS
01/03/2020,PANTOPRAZOLE SODIUMANDA  #078281,SUPPL-19,PANTOPRAZOLE SODIUM,LANNETT CO INC
01/03/2020,PANTOPRAZOLE SODIUMANDA  #078281,SUPPL-21,PANTOPRAZOLE SODIUM,LANNETT CO INC
01/03/2020,PANTOPRAZOLE SODIUMANDA  #078281,SUPPL-22,PANTOPRAZOLE SODIUM,LANNETT CO INC
01/03/2020,PANTOPRAZOLE SODIUMANDA  #078281,SUPPL-23,PANTOPRAZOLE SODIUM,LANNETT CO INC
01/03/2020,PANTOPRAZOLE SODIUMANDA  #078281,SUPPL-24,PANTOPRAZOLE SODIUM,LANNETT CO INC
01/03/2020,FLUDEOXYGLUCOSE F18ANDA  #079086,SUPPL-21,FLUDEOXYGLUCOSE F-18,PETNET
01/03/2020,DOXEPIN HYDROCHLORIDEANDA  #201951,SUPPL-4,DOXEPIN HYDROCHLORIDE,ACTAVIS ELIZABETH
01/03/2020,MARQIBO KITNDA   #202497,SUPPL-10,VINCRISTINE SULFATE,ACROTECH
01/03/2020,FLUDEOXYGLUCOSE F18ANDA  #203816,SUPPL-1,FLUDEOXYGLUCOSE F-18,BRIGHAM WOMENS
01/03/2020,FLUDEOXYGLUCOSE F18ANDA  #203935,SUPPL-5,FLUDEOXYGLUCOSE F-18,WUSM CYCLOTRON
01/03/2020,FLUDEOXYGLUCOSE F18ANDA  #203946,SUPPL-3,FLUDEOXYGLUCOSE F-18,ESSENTIAL ISOTOPES
01/03/2020,FLUDEOXYGLUCOSE F18ANDA  #204525,SUPPL-1,FLUDEOXYGLUCOSE F-18,ISOLOGIC INNOVATIVE
01/03/2020,DEFERASIROXANDA  #209433,ORIG-1,DEFERASIROX,GLENMARK SPECLT
01/03/2020,BOSENTANANDA  #210342,ORIG-1,BOSENTAN,CHARTWELL MOLECULAR
01/03/2020,HYDROCODONE BITARTRATE AND ACETAMINOPHENANDA  #211729,ORIG-1,ACETAMINOPHEN; HYDROCODONE BITARTRATE,GRANULES
01/06/2020,AZELEXNDA   #020428,SUPPL-22,AZELAIC ACID,ALMIRALL
01/06/2020,NEULASTABLA   #125031,SUPPL-199,PEGFILGRASTIM,AMGEN
01/06/2020,DOCETAXELNDA   #201525,SUPPL-19,DOCETAXEL,SANDOZ
01/06/2020,SIRTURONDA   #204384,SUPPL-14,BEDAQUILINE FUMARATE,JANSSEN THERAP
01/06/2020,IBUPROFENANDA  #209076,ORIG-1,IBUPROFEN,ULTRATAB LABS INC
01/06/2020,KLOR-CONANDA  #209662,SUPPL-2,POTASSIUM CHLORIDE,UPSHER SMITH LABS
01/06/2020,DARIFENACIN HYDROBROMIDEANDA  #211045,ORIG-1,DARIFENACIN HYDROBROMIDE,POLYGEN PHARMS
01/06/2020,PROPRANOLOL HYDROCHLORIDEANDA  #212026,ORIG-1,PROPRANOLOL HYDROCHLORIDE,AMTA
01/07/2020,GIAZONDA   #022205,SUPPL-3,BALSALAZIDE DISODIUM,VALEANT PHARMS INTL
01/07/2020,PAMIDRONATE DISODIUMANDA  #075841,SUPPL-19,PAMIDRONATE DISODIUM,HOSPIRA
01/07/2020,ABACAVIR SULFATE AND LAMIVUDINEANDA  #090159,SUPPL-2,ABACAVIR SULFATE; LAMIVUDINE,AUROBINDO PHARMA LTD
01/07/2020,FAMOTIDINEANDA  #090440,SUPPL-3,FAMOTIDINE,LUPIN LTD
01/07/2020,TENOFOVIR DISOPROXIL FUMARATEANDA  #203232,SUPPL-6,TENOFOVIR DISOPROXIL FUMARATE,MACLEODS PHARMS LTD
01/07/2020,TENOFOVIR DISOPROXIL FUMARATEANDA  #203232,SUPPL-7,TENOFOVIR DISOPROXIL FUMARATE,MACLEODS PHARMS LTD
01/07/2020,TENOFOVIR DISOPROXIL FUMARATEANDA  #203232,SUPPL-11,TENOFOVIR DISOPROXIL FUMARATE,MACLEODS PHARMS LTD
01/07/2020,DIHYDROERGOTAMINE MESYLATEANDA  #212046,ORIG-1,DIHYDROERGOTAMINE MESYLATE,PROVEPHARM SAS
01/08/2020,FUSILEVNDA   #020140,SUPPL-24,LEVOLEUCOVORIN CALCIUM,ACROTECH BIOPHARMA
01/08/2020,GENOTROPINBLA   #020280,SUPPL-90,SOMATROPIN,PHARMACIA
01/08/2020,GENOTROPIN PRESERVATIVE FREEBLA   #020280,SUPPL-90,SOMATROPIN,PHARMACIA
01/08/2020,AZITHROMYCINANDA  #065209,SUPPL-30,AZITHROMYCIN,SANDOZ
01/08/2020,AZITHROMYCINANDA  #065211,SUPPL-34,AZITHROMYCIN,SANDOZ
01/08/2020,AZITHROMYCINANDA  #065212,SUPPL-32,AZITHROMYCIN,SANDOZ
01/08/2020,AZITHROMYCINANDA  #065218,SUPPL-19,AZITHROMYCIN,PLIVA
01/08/2020,AZITHROMYCINANDA  #065218,SUPPL-20,AZITHROMYCIN,PLIVA
01/08/2020,AZITHROMYCINANDA  #065218,SUPPL-21,AZITHROMYCIN,PLIVA
01/08/2020,AZITHROMYCINANDA  #065218,SUPPL-22,AZITHROMYCIN,PLIVA
01/08/2020,AZITHROMYCINANDA  #065506,SUPPL-15,AZITHROMYCIN,NORVIUM BIOSCIENCE
01/08/2020,AZITHROMYCINANDA  #065506,SUPPL-17,AZITHROMYCIN,NORVIUM BIOSCIENCE
01/08/2020,AZITHROMYCINANDA  #065506,SUPPL-18,AZITHROMYCIN,NORVIUM BIOSCIENCE
01/08/2020,METHYLPHENIDATE HYDROCHLORIDEANDA  #090710,SUPPL-10,METHYLPHENIDATE HYDROCHLORIDE,SUN PHARM INDS INC
01/08/2020,METHYLPHENIDATE HYDROCHLORIDEANDA  #090710,SUPPL-12,METHYLPHENIDATE HYDROCHLORIDE,SUN PHARM INDS INC
01/08/2020,METHYLPHENIDATE HYDROCHLORIDEANDA  #090710,SUPPL-15,METHYLPHENIDATE HYDROCHLORIDE,SUN PHARM INDS INC
01/08/2020,METHYLPHENIDATE HYDROCHLORIDEANDA  #090710,SUPPL-19,METHYLPHENIDATE HYDROCHLORIDE,SUN PHARM INDS INC
01/08/2020,METHYLPHENIDATE HYDROCHLORIDEANDA  #090710,SUPPL-23,METHYLPHENIDATE HYDROCHLORIDE,SUN PHARM INDS INC
01/08/2020,KEYTRUDABLA   #125514,SUPPL-66,PEMBROLIZUMAB,MERCK SHARP DOHME
01/08/2020,DIVALPROEX SODIUMANDA  #203730,SUPPL-4,DIVALPROEX SODIUM,AMNEAL PHARMS
01/08/2020,DIVALPROEX SODIUMANDA  #203730,SUPPL-7,DIVALPROEX SODIUM,AMNEAL PHARMS
01/08/2020,DIVALPROEX SODIUMANDA  #203730,SUPPL-8,DIVALPROEX SODIUM,AMNEAL PHARMS
01/08/2020,DIVALPROEX SODIUMANDA  #203730,SUPPL-10,DIVALPROEX SODIUM,AMNEAL PHARMS
01/08/2020,ZOLMITRIPTANANDA  #204284,SUPPL-6,ZOLMITRIPTAN,INVAGEN PHARMS
01/08/2020,BELEODAQNDA   #206256,SUPPL-3,BELINOSTAT,ACROTECH BIOPHARMA
01/08/2020,INFUGEMNDA   #208313,SUPPL-2,GEMCITABINE HYDROCHLORIDE,SUN PHARM
01/08/2020,HALOPERIDOLANDA  #211061,ORIG-1,HALOPERIDOL,UPSHER SMITH LABS
01/08/2020,NICOTINE POLACRILEXANDA  #212796,ORIG-1,NICOTINE POLACRILEX,DR REDDYS LABS SA
01/09/2020,DIVALPROEX SODIUMANDA  #077100,SUPPL-22,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #077100,SUPPL-25,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #077100,SUPPL-26,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #077100,SUPPL-28,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #077100,SUPPL-29,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #077100,SUPPL-30,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #077296,SUPPL-7,DIVALPROEX SODIUM,CHARTWELL RX
01/09/2020,DIVALPROEX SODIUMANDA  #077296,SUPPL-8,DIVALPROEX SODIUM,CHARTWELL RX
01/09/2020,DIVALPROEX SODIUMANDA  #078239,SUPPL-18,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078239,SUPPL-19,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078239,SUPPL-21,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078239,SUPPL-22,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078239,SUPPL-23,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078239,SUPPL-24,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078919,SUPPL-17,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078919,SUPPL-18,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078919,SUPPL-19,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078919,SUPPL-20,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078919,SUPPL-22,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #078919,SUPPL-23,DIVALPROEX SODIUM,ZYDUS PHARMS USA INC
01/09/2020,DIVALPROEX SODIUMANDA  #079163,SUPPL-8,DIVALPROEX SODIUM,UNICHEM LABS LTD
01/09/2020,DIVALPROEX SODIUMANDA  #079163,SUPPL-11,DIVALPROEX SODIUM,UNICHEM LABS LTD
01/09/2020,DIVALPROEX SODIUMANDA  #079163,SUPPL-16,DIVALPROEX SODIUM,UNICHEM LABS LTD
01/09/2020,DIVALPROEX SODIUMANDA  #079163,SUPPL-17,DIVALPROEX SODIUM,UNICHEM LABS LTD
01/09/2020,DIVALPROEX SODIUMANDA  #079163,SUPPL-18,DIVALPROEX SODIUM,UNICHEM LABS LTD
01/09/2020,DIVALPROEX SODIUMANDA  #079163,SUPPL-20,DIVALPROEX SODIUM,UNICHEM LABS LTD
01/09/2020,KEYTRUDABLA   #125514,SUPPL-67,PEMBROLIZUMAB,MERCK SHARP DOHME
01/09/2020,IMATINIB MESYLATEANDA  #204285,SUPPL-2,IMATINIB MESYLATE,TEVA PHARMS USA
01/09/2020,IMATINIB MESYLATEANDA  #204285,SUPPL-3,IMATINIB MESYLATE,TEVA PHARMS USA
01/09/2020,IMATINIB MESYLATEANDA  #204285,SUPPL-4,IMATINIB MESYLATE,TEVA PHARMS USA
01/09/2020,IMATINIB MESYLATEANDA  #204285,SUPPL-5,IMATINIB MESYLATE,TEVA PHARMS USA
01/09/2020,IMATINIB MESYLATEANDA  #204285,SUPPL-7,IMATINIB MESYLATE,TEVA PHARMS USA
01/09/2020,PYRIDOSTIGMINE BROMIDEANDA  #208797,ORIG-1,PYRIDOSTIGMINE BROMIDE,RISING
01/09/2020,OMEGA-3-ACID ETHYL ESTERSANDA  #210834,ORIG-1,OMEGA-3-ACID ETHYL ESTERS,SUN PHARM
01/09/2020,AYVAKITNDA   #212608,ORIG-1,AVAPRITINIB,BLUEPRINT MEDICINES
01/10/2020,ATROVENT HFANDA   #021527,SUPPL-33,IPRATROPIUM BROMIDE,BOEHRINGER INGELHEIM
01/10/2020,VIZAMYLNDA   #203137,SUPPL-13,FLUTEMETAMOL F-18,GE HEALTHCARE
01/10/2020,ICLUSIGNDA   #203469,SUPPL-31,PONATINIB HYDROCHLORIDE,TAKEDA PHARMS USA
01/10/2020,NEURACEQNDA   #204677,SUPPL-19,FLORBETABEN F-18,LIFE MOLECULAR
01/10/2020,VILAZODONE HYDROCHLORIDEANDA  #208202,ORIG-1,VILAZODONE HYDROCHLORIDE,ALEMBIC
01/10/2020,THIOTEPAANDA  #208242,ORIG-1,THIOTEPA,PENN LIFE
01/10/2020,NUMBRINONDA   #209575,ORIG-1,COCAINE HYDROCHLORIDE,OMNIVIUM PHARMS
01/10/2020,VALTOCONDA   #211635,ORIG-1,DIAZEPAM,NEURELIS INC
01/10/2020,PREGABALINANDA  #212280,ORIG-1,PREGABALIN,CIPLA
01/10/2020,PYRIDOSTIGMINE BROMIDEANDA  #212702,ORIG-1,PYRIDOSTIGMINE BROMIDE,AMNEAL
01/10/2020,OCREVUSBLA   #761053,SUPPL-20,OCRELIZUMAB,GENENTECH INC
01/13/2020,AZITHROMYCINANDA  #065246,SUPPL-25,AZITHROMYCIN,PLIVA
01/13/2020,AZITHROMYCINANDA  #065246,SUPPL-26,AZITHROMYCIN,PLIVA
01/13/2020,TOPOTECAN HYDROCHLORIDEANDA  #090620,SUPPL-8,TOPOTECAN HYDROCHLORIDE,ACTAVIS TOTOWA
01/13/2020,TOPOTECAN HYDROCHLORIDEANDA  #090620,SUPPL-9,TOPOTECAN HYDROCHLORIDE,ACTAVIS TOTOWA
01/13/2020,ZOLMITRIPTANANDA  #201779,SUPPL-2,ZOLMITRIPTAN,GLENMARK PHARMS LTD
01/13/2020,VALCHLORNDA   #202317,SUPPL-9,MECHLORETHAMINE HYDROCHLORIDE,HELSINN
01/13/2020,LEVOCETIRIZINE DIHYDROCHLORIDEANDA  #202673,SUPPL-3,LEVOCETIRIZINE DIHYDROCHLORIDE,TARO
01/13/2020,LEVOCETIRIZINE DIHYDROCHLORIDEANDA  #202673,SUPPL-4,LEVOCETIRIZINE DIHYDROCHLORIDE,TARO
01/13/2020,LEVOCETIRIZINE DIHYDROCHLORIDEANDA  #202673,SUPPL-5,LEVOCETIRIZINE DIHYDROCHLORIDE,TARO
01/13/2020,LEVOCETIRIZINE DIHYDROCHLORIDEANDA  #202673,SUPPL-6,LEVOCETIRIZINE DIHYDROCHLORIDE,TARO
01/13/2020,LEVOCETIRIZINE DIHYDROCHLORIDEANDA  #202673,SUPPL-7,LEVOCETIRIZINE DIHYDROCHLORIDE,TARO
01/13/2020,LICARTNDA   #206976,SUPPL-3,DICLOFENAC EPOLAMINE,IBSA INST BIO
01/13/2020,VYXEOSNDA   #209401,SUPPL-2,CYTARABINE; DAUNORUBICIN,CELATOR PHARMS
01/13/2020,AZITHROMYCINANDA  #211147,SUPPL-3,AZITHROMYCIN,ZYDUS LIFESCIENCES
01/13/2020,VALGANCICLOVIR HYDROCHLORIDEANDA  #212890,ORIG-1,VALGANCICLOVIR HYDROCHLORIDE,AJANTA PHARMA LTD
01/13/2020,TIZANIDINE HYDROCHLORIDEANDA  #213223,ORIG-1,TIZANIDINE HYDROCHLORIDE,ALEMBIC
01/14/2020,HEPARIN SODIUMNDA   #017037,SUPPL-187,HEPARIN SODIUM,HIKMA
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-15,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-16,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-17,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-18,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-19,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-20,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-21,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-22,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-23,DIVALPROEX SODIUM,LUPIN
01/14/2020,DIVALPROEX SODIUMANDA  #078790,SUPPL-24,DIVALPROEX SODIUM,LUPIN
01/14/2020,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATEANDA  #090513,SUPPL-10,EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,AUROBINDO PHARMA
01/14/2020,JAKAFINDA   #202192,SUPPL-19,RUXOLITINIB PHOSPHATE,INCYTE CORP
01/14/2020,TRANEXAMIC ACIDANDA  #209860,ORIG-1,TRANEXAMIC ACID,APOTEX
01/14/2020,EMPAGLIFLOZINANDA  #212355,ORIG-1,EMPAGLIFLOZIN,ALEMBIC LTD
01/14/2020,POTASSIUM CITRATEANDA  #212779,ORIG-1,POTASSIUM CITRATE,ANI PHARMS
01/15/2020,LAMOTRIGINEANDA  #090607,SUPPL-17,LAMOTRIGINE,ALEMBIC PHARMS LTD
01/15/2020,LAMOTRIGINEANDA  #090607,SUPPL-19,LAMOTRIGINE,ALEMBIC PHARMS LTD
01/15/2020,LAMOTRIGINEANDA  #090607,SUPPL-20,LAMOTRIGINE,ALEMBIC PHARMS LTD
01/15/2020,SIGNIFORNDA   #200677,SUPPL-6,PASIREOTIDE DIASPARTATE,RECORDATI RARE
01/15/2020,SILDENAFIL CITRATEANDA  #202025,SUPPL-3,SILDENAFIL CITRATE,AMNEAL PHARMS
01/15/2020,SILDENAFIL CITRATEANDA  #202025,SUPPL-4,SILDENAFIL CITRATE,AMNEAL PHARMS
01/15/2020,BOSENTANANDA  #205173,ORIG-1,BOSENTAN,MYLAN
01/15/2020,ESOMEPRAZOLE MAGNESIUMANDA  #209339,SUPPL-2,ESOMEPRAZOLE MAGNESIUM,AUROBINDO PHARMA
01/15/2020,ESOMEPRAZOLE MAGNESIUMANDA  #209339,SUPPL-6,ESOMEPRAZOLE MAGNESIUM,AUROBINDO PHARMA
01/15/2020,BOSUTINIBANDA  #209624,ORIG-1,BOSUTINIB,MSN LABORATORIES PRIVATE LTD
01/15/2020,DAPAGLIFLOZINANDA  #211470,ORIG-1,DAPAGLIFLOZIN,BIOCON PHARMA LTD
01/15/2020,SUCCINYLCHOLINE CHLORIDEANDA  #211589,ORIG-1,SUCCINYLCHOLINE CHLORIDE,SOMERSET THERAPS LLC
01/15/2020,LORATADINEANDA  #211926,ORIG-1,LORATADINE,STRIDES SOFTGELS
01/16/2020,DILAUDIDNDA   #019034,SUPPL-37,HYDROMORPHONE HYDROCHLORIDE,FRESENIUS KABI USA
01/16/2020,DILAUDID-HPNDA   #019034,SUPPL-37,HYDROMORPHONE HYDROCHLORIDE,FRESENIUS KABI USA
01/16/2020,TYGACILNDA   #021821,SUPPL-48,TIGECYCLINE,PF PRISM CV
01/16/2020,CALOMISTNDA   #022102,SUPPL-4,CYANOCOBALAMIN,ENDO OPERATIONS
01/16/2020,PERJETABLA   #125409,SUPPL-124,PERTUZUMAB,GENENTECH
01/16/2020,MONOFERRICNDA   #208171,ORIG-1,FERRIC DERISOMALTOSE,PHARMACOSMOS
01/16/2020,BUPROPION HYDROCHLORIDEANDA  #208606,ORIG-1,BUPROPION HYDROCHLORIDE,CADILA PHARMS LTD
01/16/2020,OZEMPICNDA   #209637,SUPPL-3,SEMAGLUTIDE,NOVO
01/16/2020,PHENYLEPHRINE HYDROCHLORIDEANDA  #209967,ORIG-1,PHENYLEPHRINE HYDROCHLORIDE,SAGENT PHARMS INC
01/16/2020,AMANTADINEANDA  #211493,ORIG-1,AMANTADINE,SANDOZ INC
01/16/2020,RYBELSUSNDA   #213051,SUPPL-1,SEMAGLUTIDE,NOVO
01/16/2020,RYBELSUSNDA   #213182,ORIG-1,SEMAGLUTIDE,NOVO NORDISK INC
01/16/2020,IXIFIBLA   #761072,SUPPL-6,INFLIXIMAB-QBTX,PFIZER INC
01/17/2020,OMECLAMOX-PAKNDA   #050824,SUPPL-7,AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE,CUMBERLAND
01/17/2020,ERYTHROMYCIN ETHYLSUCCINATEANDA  #061904,SUPPL-23,ERYTHROMYCIN ETHYLSUCCINATE,CARNEGIE
01/17/2020,ERYTHROMYCIN ETHYLSUCCINATEANDA  #061904,SUPPL-25,ERYTHROMYCIN ETHYLSUCCINATE,CARNEGIE
01/17/2020,LAMOTRIGINEANDA  #090170,SUPPL-15,LAMOTRIGINE,UNICHEM LABS LTD
01/17/2020,LAMOTRIGINEANDA  #090170,SUPPL-21,LAMOTRIGINE,UNICHEM LABS LTD
01/17/2020,LAMOTRIGINEANDA  #090170,SUPPL-23,LAMOTRIGINE,UNICHEM LABS LTD
01/17/2020,LAMOTRIGINEANDA  #090170,SUPPL-25,LAMOTRIGINE,UNICHEM LABS LTD
01/17/2020,BENLYSTABLA   #125370,SUPPL-68,BELIMUMAB,HUMAN GENOME SCIENCES INC.
01/17/2020,NALOXONE HYDROCHLORIDEANDA  #211286,ORIG-1,NALOXONE HYDROCHLORIDE,PAR STERILE PRODUCTS
01/17/2020,FENOFIBRATEANDA  #213252,ORIG-1,FENOFIBRATE,ALEMBIC
01/17/2020,CHLORPROMAZINE HYDROCHLORIDEANDA  #213368,ORIG-1,CHLORPROMAZINE HYDROCHLORIDE,ZYDUS LIFESCIENCES
01/17/2020,BENLYSTABLA   #761043,SUPPL-8,BELIMUMAB,GLAXOSMITHKLINE LLC
01/21/2020,CYTOMELNDA   #010379,SUPPL-57,LIOTHYRONINE SODIUM,KING PHARMS
01/21/2020,SPECTAZOLENDA   #018751,SUPPL-25,ECONAZOLE NITRATE,ALVOGEN
01/21/2020,DESIPRAMINE HYDROCHLORIDEANDA  #071588,SUPPL-31,DESIPRAMINE HYDROCHLORIDE,ACTAVIS TOTOWA
01/21/2020,DESIPRAMINE HYDROCHLORIDEANDA  #071601,SUPPL-32,DESIPRAMINE HYDROCHLORIDE,ACTAVIS TOTOWA
01/21/2020,DESIPRAMINE HYDROCHLORIDEANDA  #071602,SUPPL-29,DESIPRAMINE HYDROCHLORIDE,ACTAVIS TOTOWA
01/21/2020,DESIPRAMINE HYDROCHLORIDEANDA  #071766,SUPPL-30,DESIPRAMINE HYDROCHLORIDE,ACTAVIS TOTOWA
01/21/2020,DESIPRAMINE HYDROCHLORIDEANDA  #074430,SUPPL-19,DESIPRAMINE HYDROCHLORIDE,ACTAVIS TOTOWA
01/21/2020,RISPERIDONEANDA  #078269,SUPPL-12,RISPERIDONE,RISING
01/21/2020,RISPERIDONEANDA  #078269,SUPPL-13,RISPERIDONE,RISING
01/21/2020,RISPERIDONEANDA  #078269,SUPPL-14,RISPERIDONE,RISING
01/21/2020,LAMOTRIGINEANDA  #078691,SUPPL-5,LAMOTRIGINE,LUPIN LTD
01/21/2020,LAMOTRIGINEANDA  #078691,SUPPL-6,LAMOTRIGINE,LUPIN LTD
01/21/2020,LAMOTRIGINEANDA  #078691,SUPPL-7,LAMOTRIGINE,LUPIN LTD
01/21/2020,LAMOTRIGINEANDA  #078691,SUPPL-8,LAMOTRIGINE,LUPIN LTD
01/21/2020,DIVALPROEX SODIUMANDA  #078791,SUPPL-13,DIVALPROEX SODIUM,IMPAX LABS
01/21/2020,DIVALPROEX SODIUMANDA  #078791,SUPPL-14,DIVALPROEX SODIUM,IMPAX LABS
01/21/2020,DIVALPROEX SODIUMANDA  #078791,SUPPL-16,DIVALPROEX SODIUM,IMPAX LABS
01/21/2020,DIVALPROEX SODIUMANDA  #078791,SUPPL-18,DIVALPROEX SODIUM,IMPAX LABS
01/21/2020,DIVALPROEX SODIUMANDA  #078791,SUPPL-20,DIVALPROEX SODIUM,IMPAX LABS
01/21/2020,DIVALPROEX SODIUMANDA  #078979,SUPPL-18,DIVALPROEX SODIUM,DR REDDYS LABS LTD
01/21/2020,DIVALPROEX SODIUMANDA  #078979,SUPPL-19,DIVALPROEX SODIUM,DR REDDYS LABS LTD
01/21/2020,DIVALPROEX SODIUMANDA  #078979,SUPPL-20,DIVALPROEX SODIUM,DR REDDYS LABS LTD
01/21/2020,DIVALPROEX SODIUMANDA  #078979,SUPPL-21,DIVALPROEX SODIUM,DR REDDYS LABS LTD
